idx	v_val	v_vec	p_in	p_out
86	0.1291684263909852	"[2.57419721e-17 0.00000000e+00 0.00000000e+00 8.21734050e-01
 0.00000000e+00 2.77286644e-17 1.78265950e-01]"	[0.         0.52398458 0.        ]	[4.98184115e-01 0.00000000e+00 4.87368830e-18]
87	0.43932007349426294	"[4.89858734e-01 3.62727973e-19 1.72566039e-19 1.28183794e-19
 5.10141266e-01 9.91802158e-21 3.00192772e-19]"	[4.98184115e-01 0.00000000e+00 4.87368830e-18]	[0.         0.52398923 0.        ]
88	0.12916829074093766	"[0.00000000e+00 5.14245923e-17 0.00000000e+00 8.21738029e-01
 0.00000000e+00 0.00000000e+00 1.78261971e-01]"	[0.         0.52398923 0.        ]	[0.49818458 0.         0.        ]
89	0.4393200535330174	"[4.89787502e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.10212498e-01 0.00000000e+00 4.28850308e-17]"	[0.49818458 0.         0.        ]	[1.20667793e-16 5.23988600e-01 2.03706470e-16]
90	0.12916830922889644	"[0.00000000e+00 5.55309056e-18 6.01773113e-17 8.21732929e-01
 3.73767810e-21 0.00000000e+00 1.78267071e-01]"	[1.20667793e-16 5.23988600e-01 2.03706470e-16]	[4.98182807e-01 0.00000000e+00 3.62518010e-16]
91	0.43932013393953634	"[4.89866824e-01 1.09464267e-16 3.11165631e-16 1.17390213e-16
 5.10133176e-01 1.01001968e-16 3.24424846e-16]"	[4.98182807e-01 0.00000000e+00 3.62518010e-16]	[1.27662056e-16 5.23989760e-01 5.09246540e-17]
92	0.12916827558513333	"[0.00000000e+00 0.00000000e+00 0.00000000e+00 8.21752231e-01
 0.00000000e+00 5.50478624e-17 1.78247769e-01]"	[1.27662056e-16 5.23989760e-01 5.09246540e-17]	[0.49818409 0.         0.        ]
93	0.43932007454275956	"[4.89891805e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.10108195e-01 0.00000000e+00 2.61017197e-17]"	[0.49818409 0.         0.        ]	[1.50828607e-17 5.23991122e-01 1.52771141e-16]
94	0.1291682363382312	"[0.00000000e+00 3.96946515e-17 0.00000000e+00 8.21765432e-01
 1.76387404e-17 1.63925189e-18 1.78234568e-01]"	[1.50828607e-17 5.23991122e-01 1.52771141e-16]	[4.98183400e-01 1.40173764e-15 2.92348611e-15]
95	0.43932010654014925	"[4.89858041e-01 3.82492761e-16 7.72215178e-16 1.26107981e-16
 5.10141959e-01 4.68097184e-16 7.39618909e-16]"	[4.98183400e-01 1.40173764e-15 2.92348611e-15]	[0.         0.52399039 0.        ]
96	0.12916825717115504	"[2.04900655e-17 0.00000000e+00 0.00000000e+00 8.21724968e-01
 0.00000000e+00 0.00000000e+00 1.78275032e-01]"	[0.         0.52399039 0.        ]	[4.98184173e-01 2.47153832e-15 2.53763993e-15]
97	0.43932007080830804	"[0.48985575 0.         0.         0.         0.51014425 0.
 0.        ]"	[4.98184173e-01 2.47153832e-15 2.53763993e-15]	[0.00000000e+00 5.23989947e-01 2.46519033e-32]
98	0.12916827000219555	"[0.         0.         0.         0.82173718 0.         0.
 0.17826282]"	[0.00000000e+00 5.23989947e-01 2.46519033e-32]	[0.49818461 0.         0.        ]
99	0.4393200504014155	"[4.89883547e-01 2.09675989e-16 3.18698084e-16 3.87239879e-17
 5.10116453e-01 1.24903312e-16 4.28542846e-16]"	[0.49818461 0.         0.        ]	[0.00000000e+00 5.23989270e-01 2.17457531e-16]
100	0.1291682897203295	"[3.02977151e-17 0.00000000e+00 3.81767308e-17 8.21735926e-01
 7.66671584e-18 0.00000000e+00 1.78264074e-01]"	[0.00000000e+00 5.23989270e-01 2.17457531e-16]	[4.98183651e-01 6.47840894e-16 1.45007604e-15]
101	0.4393200968220754	"[4.89771421e-01 0.00000000e+00 7.23923057e-17 0.00000000e+00
 5.10228579e-01 2.12366647e-16 0.00000000e+00]"	[4.98183651e-01 6.47840894e-16 1.45007604e-15]	[1.34077397e-16 5.23987939e-01 5.09268676e-17]
102	0.12916832848504176	"[0.         0.         0.         0.82173192 0.         0.
 0.17826808]"	[1.34077397e-16 5.23987939e-01 5.09268676e-17]	[4.98184984e-01 0.00000000e+00 3.62518757e-16]
103	0.4393200336744555	"[0.48992039 0.         0.         0.         0.51007961 0.
 0.        ]"	[4.98184984e-01 0.00000000e+00 3.62518757e-16]	[0.         0.52399045 0.        ]
