idx	v_val	p_in	v_vec	time
115	0.12502192868588424	[0.01, 0.47999999999999976, 0.01]	"[2.77820695e-17 0.00000000e+00 3.73971543e-17 3.72745151e-01
 6.27254849e-01 0.00000000e+00 1.02097965e-25]"	8.962928295135498
116	0.12493447235677757	[0.01, 0.47999999999999976, 0.02]	"[0.         0.         0.         0.36673379 0.63326621 0.
 0.        ]"	6.160968780517578
117	0.12508032254594278	[0.01, 0.48999999999999977, 0.0]	"[0.00000000e+00 0.00000000e+00 2.00392535e-18 3.81991240e-01
 6.18008760e-01 7.82170343e-18 0.00000000e+00]"	8.025166988372803
118	0.12500098772045296	[0.01, 0.48999999999999977, 0.01]	"[9.26116579e-17 6.76320857e-17 5.86391363e-17 3.75972181e-01
 6.24027819e-01 1.36903610e-17 2.46468183e-31]"	7.165579080581665
119	0.12484440842447153	[0.01, 0.48999999999999977, 0.02]	"[9.32091554e-18 6.95138503e-17 4.38646347e-17 3.70109731e-01
 6.29890269e-01 2.44246546e-17 1.23259516e-31]"	7.345990180969238
120	0.12505587204008528	[0.01, 0.4999999999999998, 0.0]	"[0.00000000e+00 0.00000000e+00 7.10345297e-17 3.85202109e-01
 6.14797891e-01 0.00000000e+00 0.00000000e+00]"	6.75531792640686
121	0.12490770197158968	[0.01, 0.4999999999999998, 0.01]	"[0.00000000e+00 2.82104924e-17 2.05779466e-17 3.79077705e-01
 6.20922295e-01 0.00000000e+00 0.00000000e+00]"	6.971954584121704
122	0.1246820152389983	[0.01, 0.4999999999999998, 0.02]	"[4.66519121e-17 1.39817691e-21 1.35478421e-21 3.72795704e-01
 6.27204296e-01 3.32932183e-22 1.09124625e-16]"	7.396446943283081
123	0.06867853003051232	[0.02, 0.1, 0.0]	"[4.47218379e-03 8.13903435e-18 0.00000000e+00 0.00000000e+00
 9.95527816e-01 7.08190883e-17 1.86982865e-16]"	10.75477147102356
124	0.07133870380816486	[0.02, 0.1, 0.01]	"[2.28160263e-02 0.00000000e+00 1.69411162e-16 0.00000000e+00
 9.77183974e-01 0.00000000e+00 6.75365767e-17]"	11.693017482757568
125	0.07380208844484286	[0.02, 0.1, 0.02]	"[3.97025411e-02 2.42993609e-17 2.16698399e-17 3.60310089e-03
 9.56694358e-01 1.99230413e-17 5.53153793e-17]"	18.15821409225464
126	0.07180314208541348	[0.02, 0.11, 0.0]	"[0.00000000e+00 6.20130612e-17 3.56808542e-17 1.49186004e-17
 1.00000000e+00 2.21428563e-17 2.08166817e-17]"	11.229116916656494
127	0.07446187353975825	[0.02, 0.11, 0.01]	"[1.13200985e-02 0.00000000e+00 0.00000000e+00 3.91347309e-16
 9.88679901e-01 2.13712420e-16 0.00000000e+00]"	10.172820806503296
128	0.07692799959911134	[0.02, 0.11, 0.02]	"[0.02830569 0.         0.         0.00540072 0.96629359 0.
 0.        ]"	16.940418481826782
129	0.07484363774684974	[0.02, 0.12, 0.0]	"[1.59390947e-16 9.83403929e-18 0.00000000e+00 4.65922367e-19
 1.00000000e+00 0.00000000e+00 5.50315899e-17]"	8.877361059188843
130	0.07745093632005844	[0.02, 0.12, 0.01]	"[7.70145864e-04 2.35070138e-17 2.26021553e-17 5.51236239e-17
 9.99229854e-01 0.00000000e+00 9.92029970e-17]"	15.152774333953857
131	0.07991485044426243	[0.02, 0.12, 0.02]	"[1.77948505e-02 1.05083881e-16 3.20592433e-16 6.69384458e-03
 9.75511305e-01 2.02771508e-15 3.88911939e-15]"	15.582732915878296
